2016-06-28 20:08:10,861 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-edge-driver/2.53.0/selenium-edge-driver-2.53.0.jar
2016-06-28 20:08:20,864 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/apache/commons/commons-exec/1.3/commons-exec-1.3.jar
2016-06-28 20:08:30,868 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-firefox-driver/2.53.0/selenium-firefox-driver-2.53.0.jar
2016-06-28 20:08:40,968 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-ie-driver/2.53.0/selenium-ie-driver-2.53.0.jar
2016-06-28 20:08:50,971 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/net/java/dev/jna/jna/4.1.0/jna-4.1.0.jar
2016-06-28 20:08:50,972 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/net/java/dev/jna/jna-platform/4.1.0/jna-platform-4.1.0.jar
2016-06-28 20:08:50,979 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-safari-driver/2.53.0/selenium-safari-driver-2.53.0.jar
2016-06-28 20:08:50,980 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/io/netty/netty/3.5.7.Final/netty-3.5.7.Final.jar
2016-06-28 20:08:50,980 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-support/2.53.0/selenium-support-2.53.0.jar
2016-06-28 20:08:50,980 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-release/org/seleniumhq/selenium/selenium-leg-rc/2.53.0/selenium-leg-rc-2.53.0.jar
2016-06-28 20:08:51,310 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-java/2.53.0/selenium-java-2.53.0.jar
2016-06-28 20:08:51,311 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-chrome-driver/2.53.0/selenium-chrome-driver-2.53.0.jar
2016-06-28 20:08:51,311 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-remote-driver/2.53.0/selenium-remote-driver-2.53.0.jar
2016-06-28 20:08:51,311 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/cglib/cglib-nodep/2.1_3/cglib-nodep-2.1_3.jar
2016-06-28 20:08:51,312 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/com/google/code/gson/gson/2.3.1/gson-2.3.1.jar
2016-06-28 20:08:51,312 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-api/2.53.0/selenium-api-2.53.0.jar
2016-06-28 20:08:51,312 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/apache/httpcomponents/httpclient/4.5.1/httpclient-4.5.1.jar
2016-06-28 20:08:51,312 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/apache/httpcomponents/httpcore/4.4.3/httpcore-4.4.3.jar
2016-06-28 20:08:51,313 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/com/google/guava/guava/19.0/guava-19.0.jar
2016-06-28 20:08:51,313 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-edge-driver/2.53.0/selenium-edge-driver-2.53.0.jar
2016-06-28 20:08:51,313 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/apache/commons/commons-exec/1.3/commons-exec-1.3.jar
2016-06-28 20:08:51,313 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-firefox-driver/2.53.0/selenium-firefox-driver-2.53.0.jar
2016-06-28 20:08:51,314 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-ie-driver/2.53.0/selenium-ie-driver-2.53.0.jar
2016-06-28 20:08:51,314 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/net/java/dev/jna/jna/4.1.0/jna-4.1.0.jar
2016-06-28 20:08:51,314 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/net/java/dev/jna/jna-platform/4.1.0/jna-platform-4.1.0.jar
2016-06-28 20:08:51,315 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://artifactory.ops.snapdeal.io:8080/libs-snapshot/org/seleniumhq/selenium/selenium-safari-driver/2.53.0/selenium-safari-driver-2.53.0.jar
